co,name,reg_name,code,pop,lat,lon
co,aguilas,Águilas,26,,7.4705556,-73.3158333
co,aguillo,Aguillo,20,,1.5,-78.2666667
co,aguirre,Aguirre,2,,6.597222200000001,-75.6869444
co,aguisi,Aguisi,26,,7.1,-73.65
co,aguita,Agüita,24,,5.3,-76.2
co,aguitas,Agüitas,24,,5.3,-76.2
co,agustina,Agustina,7,,5.6666667,-74.65
co,agustin codazzi,Agustín Codazzi,10,51479.0,10.035833300000002,-73.2388889
co,agustin vivas,Agustín Vivas,11,,5.25,-76.9333333
co,ahorca zorra,Ahorca Zorra,18,,10.504166699999999,-74.6288889
co,ahumada,Ahumada,20,,1.1833333000000001,-77.55
co,ahuyama,Ahuyama,17,,11.8913889,-72.28805559999999
co,aicala,Aicalá,21,,8.091388900000002,-72.3833333
co,aichumahana,Aichumahana,17,,11.945277800000001,-71.8666667
co,ailanapaha,Aílanapaha,17,,11.91,-71.73611109999999
co,ailaparihi,Ailaparihi,17,,11.920277800000001,-72.0583333
co,aipe,Aipe,16,7964.0,3.2255556,-75.2413889
co,aipiruhu,Áipiruhu,17,,12.133333300000002,-72.1166667
co,aire libre,Aire Libre,5,,8.8,-74.3833333
co,airrainmaru,Áirrainmaru,17,,12.45,-71.65
co,ajaraiahuria,Ajaraiahuria,17,,11.5705556,-72.5155556
co,ajizales,Ajizales,33,,5.6241667,-74.44
co,ajumana,Ajumana,17,,11.4644444,-72.815
co,alamos,Álamos,2,,6.2666667,-75.58333329999999
co,alban,Albán,20,,1.1,-77.5666667
co,alban,Albán,29,,4.7833333,-76.1833333
co,alban,Albán,33,1684.0,4.866666700000001,-74.45
co,albania,Albania,6,,5.6325,-73.8555556
co,albania,Albania,8,4160.0,1.3316667,-75.8822222
co,albania,Albania,10,,9.555833300000002,-73.9011111
co,albania,Albania,16,,2.2736111,-75.7075
co,albania,Albania,17,6365.0,11.1597222,-72.58555559999999
co,albania,Albania,18,,10.3,-74.15
co,albania,Albania,20,,1.6752778000000002,-78.7641667
